morphism_id,source,relation,target,evidence_tier,source_type,validation_status,citation_status,quantitative_status,pmid_count,pmids,has_context,has_full_text,source_mentioned,target_mentioned,endpoint_context_match,relation_support_heuristic,relation_context_support,quantitative_value_support,risk_flags
inhibits:Deserpidine->SLC18A2,Deserpidine,inhibits,SLC18A2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Desipramine->SLC6A2,Desipramine,inhibits,SLC6A2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Desirudin->F2,Desirudin,inhibits,F2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Desloratadine->HRH1,Desloratadine,inhibits,HRH1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Desvenlafaxine->SLC6A2,Desvenlafaxine,inhibits,SLC6A2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Desvenlafaxine->SLC6A4,Desvenlafaxine,inhibits,SLC6A4,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Deucravacitinib->TYK2,Deucravacitinib,inhibits,TYK2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Deuruxolitinib->JAK1,Deuruxolitinib,inhibits,JAK1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Deuruxolitinib->JAK2,Deuruxolitinib,inhibits,JAK2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Deuruxolitinib->JAK3,Deuruxolitinib,inhibits,JAK3,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Deuruxolitinib->TYK2,Deuruxolitinib,inhibits,TYK2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Deutetrabenazine->SLC18A2,Deutetrabenazine,inhibits,SLC18A2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dexbrompheniramine->HRH1,Dexbrompheniramine,inhibits,HRH1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
